2026-04-17T06:54:10.223251+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T06:54:53.315037+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T06:55:34.012639+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T06:56:13.993158+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T06:56:52.427086+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T06:58:10.413555+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-17T06:58:48.611839+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-17T06:59:29.938955+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-17T07:00:10.170625+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-17T07:00:50.743518+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-17T07:02:18.421855+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T07:03:05.381913+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T07:03:48.105685+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T07:04:25.825474+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T07:05:05.805373+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-17T07:06:16.491537+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-17T07:06:59.098800+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-17T07:07:40.431635+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-17T07:08:20.490704+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T07:09:02.725506+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T07:10:24.806649+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T07:11:08.235683+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T07:11:50.922305+00:00 | Go | Blackpink | source:amperwave-api
2026-04-17T07:12:35.505918+00:00 | Go | Blackpink | source:amperwave-api
2026-04-17T07:13:23.391173+00:00 | Go | Blackpink | source:amperwave-api
2026-04-17T07:14:54.200980+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-17T07:15:32.769587+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-17T07:16:14.047220+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-17T07:16:56.788469+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-17T07:17:38.371725+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-17T07:18:20.182115+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-17T07:18:59.704617+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-17T07:19:45.358741+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-17T07:20:30.653998+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T07:21:13.200387+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T07:21:52.008048+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T07:22:31.805755+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-17T07:23:13.901376+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T07:23:52.011236+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T07:24:31.785553+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T07:25:13.805441+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T07:25:55.669390+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T07:26:40.170870+00:00 | Swim | Bts | source:amperwave-api
2026-04-17T07:28:00.375634+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T07:28:40.770355+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T07:29:22.568236+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T07:30:05.066887+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T07:30:47.998654+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T07:31:29.045076+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
