2026-04-19T17:46:39.310752+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:47:19.284093+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:47:59.844285+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:48:50.880759+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:49:33.399687+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T17:50:44.364821+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T17:51:24.823196+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T17:52:45.952581+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:53:26.538109+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:54:05.839971+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:54:49.283578+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:55:29.624481+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:56:11.553731+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:56:51.502649+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:57:33.589320+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:58:13.507212+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:58:55.473775+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:59:35.251093+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T18:00:17.091202+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T18:00:58.351087+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T18:02:00.236760+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T18:02:40.724912+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T18:03:37.500270+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T18:04:19.109441+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T18:05:00.360345+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T18:05:52.914917+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:06:35.488098+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:07:43.151539+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:08:25.625215+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:09:06.876902+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:09:49.366413+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:10:39.652598+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:11:47.354773+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:12:29.195112+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:13:09.478929+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:13:49.906344+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:14:29.772951+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:15:16.590838+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:15:58.909856+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:16:39.882450+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:17:20.420364+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:18:02.322760+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:18:48.827883+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:19:34.693369+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:20:41.985910+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:21:23.335397+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:22:09.741622+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:23:20.722922+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:24:01.080400+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:24:52.885332+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:25:33.128684+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:26:14.232075+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:26:57.579634+00:00 | Folded | Kehlani | source:amperwave-api
