2026-04-18T14:06:45.713751+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:07:23.950358+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:08:00.818930+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:08:38.326650+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:09:15.105231+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:09:51.745394+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:10:28.593722+00:00 | Owner Of A Lonely Heart | Yes | source:amperwave-api
2026-04-18T14:11:04.320868+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:11:39.981248+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:12:39.065942+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:13:14.825555+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:13:52.988591+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:14:44.143610+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:15:20.697861+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:15:56.975968+00:00 | Simple Man | Lynyrd Skynyrd | source:amperwave-api
2026-04-18T14:16:47.122118+00:00 | Centerfold | J. Geils Band | source:amperwave-api
2026-04-18T14:17:24.648756+00:00 | Centerfold | J. Geils Band | source:amperwave-api
2026-04-18T14:18:01.037302+00:00 | Centerfold | J. Geils Band | source:amperwave-api
2026-04-18T14:18:52.880239+00:00 | Centerfold | J. Geils Band | source:amperwave-api
2026-04-18T14:19:29.735301+00:00 | Centerfold | J. Geils Band | source:amperwave-api
2026-04-18T14:20:07.407981+00:00 | Centerfold | J. Geils Band | source:amperwave-api
2026-04-18T14:20:59.050486+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:21:38.734226+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:22:15.366612+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:23:07.270019+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:23:46.357537+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:24:23.230816+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:25:01.574785+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:25:37.126673+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:26:15.153743+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:26:50.675431+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:27:27.732273+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:28:04.727633+00:00 | Comedown | Bush | source:amperwave-api
2026-04-18T14:28:43.890606+00:00 | Comedown | Bush | source:amperwave-api
